strategy_variant,subset,period_split,window,variant,sample_count,available_count,pending_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
analyzer_veto_chase_overheat,all,all,20,t1_net,305,305,0,2.8384831990927104,0.3200000000000137,12.868228148175927,1.5956887814008023,0.33272411127123597,51.147540983606554
analyzer_veto_chase_overheat,all,all,20,excess_csi300,305,305,0,0.6281961219639756,-1.1240267422404804,11.606837448611763,0.5714019896286424,0.11914555105846308,43.606557377049185
analyzer_veto_chase_overheat,all,all,20,excess_csi1000,305,305,0,0.3130261027923027,-1.1442432534623403,11.75642749460749,0.17287348796567226,0.03604661404916491,42.950819672131146
analyzer_veto_chase_overheat,all,all,20,excess_eligible,305,305,0,0.9368191511168338,-0.9570172768032852,11.274087693805168,0.8220096743536441,0.17140086559709697,46.22950819672131
analyzer_veto_chase_overheat,all,discovery,5,close,131,131,0,-0.32677961880091083,-0.41109969167524296,7.143032023816802,0.3560271890918105,0.10734623648931349,45.038167938931295
analyzer_veto_chase_overheat,all,discovery,5,t1,131,131,0,-0.22671976616385245,-0.45000000000001705,6.853028074968162,0.3353342327312571,0.10110707539375405,45.038167938931295
analyzer_veto_chase_overheat,all,discovery,5,t1_net,131,131,0,-0.3867197661638526,-0.6100000000000171,6.8530280749681625,0.22048781862258943,0.06647957865591501,44.274809160305345
analyzer_veto_chase_overheat,all,discovery,5,excess_csi300,131,131,0,-0.31749126547511125,-0.5510358991177022,6.332360610793038,0.15623493033350289,0.047106603914867685,44.274809160305345
analyzer_veto_chase_overheat,all,discovery,5,excess_csi1000,131,131,0,0.5424705119002955,0.9042546304405374,6.099424743522151,1.2446025695076104,0.3752617941971791,58.01526717557252
analyzer_veto_chase_overheat,all,discovery,5,excess_eligible,131,131,0,0.25042246640914445,0.07852754718875898,6.20358474714998,0.5676371290169465,0.17114903400216103,51.908396946564885
analyzer_veto_chase_overheat,all,discovery,10,close,131,131,0,-0.019341693794179386,-0.5320092214931682,10.279686296798863,0.387283264274508,0.11677029774387228,48.854961832061065
analyzer_veto_chase_overheat,all,discovery,10,t1,131,131,0,0.08476233416774437,0.0,10.0687361173023,0.3609595251688844,0.10883339177182144,49.61832061068702
analyzer_veto_chase_overheat,all,discovery,10,t1_net,131,131,0,-0.07523766583225575,-0.16,10.0687361173023,0.2749164855242184,0.08289043919700037,49.61832061068702
analyzer_veto_chase_overheat,all,discovery,10,excess_csi300,131,131,0,0.044581674980196315,-1.3240208007767147,9.400181752025802,0.33731885574009374,0.10170546174562833,45.038167938931295
analyzer_veto_chase_overheat,all,discovery,10,excess_csi1000,131,131,0,0.7680970394722977,-0.3219735007697011,8.922992348067954,0.947616352459292,0.28571708057387707,47.32824427480916
analyzer_veto_chase_overheat,all,discovery,10,excess_eligible,131,131,0,1.1465559695684011,-0.10887115765595157,8.84811752732734,0.9092711019739909,0.27415555254188284,47.32824427480916
analyzer_veto_chase_overheat,all,discovery,20,close,131,131,0,2.50569312821798,-0.9287925696594312,13.268739638526638,0.8053611289217893,0.24282551685187434,45.80152671755725
analyzer_veto_chase_overheat,all,discovery,20,t1,131,131,0,2.64766638413718,-0.700636942675148,13.454437165123162,0.7683285657450993,0.23165977893530956,45.80152671755725
analyzer_veto_chase_overheat,all,discovery,20,t1_net,131,131,0,2.48766638413718,-0.860636942675148,13.454437165123162,0.7079055213821146,0.21344154558594416,45.80152671755725
analyzer_veto_chase_overheat,all,discovery,20,excess_csi300,131,131,0,-0.9022564034729523,-1.987471913370742,11.139246237341101,-0.43440488055808196,-0.1309779996282101,35.87786259541985
analyzer_veto_chase_overheat,all,discovery,20,excess_csi1000,131,131,0,-0.4267913794164565,-1.7237108623657682,11.773577309145432,-0.24835371394013436,-0.0748814622209712,41.98473282442748
analyzer_veto_chase_overheat,all,discovery,20,excess_eligible,131,131,0,1.213432198710581,-0.5810220491429781,10.663445077907854,0.6117751394176876,0.18445714486507578,48.091603053435115
analyzer_veto_chase_overheat,all,validation,5,close,174,174,0,1.8216507420182102,1.2708503700783913,8.43641648944256,1.3744110456085235,0.3967582935796381,60.91954022988506
analyzer_veto_chase_overheat,all,validation,5,t1,174,174,0,1.553192200604706,0.9192262215593217,8.184929590301921,1.172057085184515,0.33834373681844393,58.04597701149425
analyzer_veto_chase_overheat,all,validation,5,t1_net,174,174,0,1.3931922006047057,0.7592262215593216,8.184929590301921,1.0477415714623413,0.3024569391624722,57.47126436781609
analyzer_veto_chase_overheat,all,validation,5,excess_csi300,174,174,0,1.510334632638933,0.42594521282821596,7.35537806597498,1.9812230993052906,0.5719298448543071,50.57471264367817
analyzer_veto_chase_overheat,all,validation,5,excess_csi1000,174,174,0,1.4071843026127944,0.5205031128499682,7.047490229268224,3.6250524903150745,1.0464625155549658,53.44827586206896
analyzer_veto_chase_overheat,all,validation,5,excess_eligible,174,174,0,0.804048468607481,-0.3964621083629576,7.1129669621925204,1.3328554441473897,0.38476222473467686,47.701149425287355
analyzer_veto_chase_overheat,all,validation,10,close,174,174,0,2.197747254933836,1.3669026655774297,9.232378090751475,1.844406978327032,0.5324344327161682,56.896551724137936
analyzer_veto_chase_overheat,all,validation,10,t1,174,174,0,1.9344333297661052,1.4160497379920645,9.086274615673254,1.5174935228829762,0.4380626469649999,58.04597701149425
analyzer_veto_chase_overheat,all,validation,10,t1_net,174,174,0,1.774433329766105,1.2560497379920645,9.086274615673254,1.383006217220479,0.3992395059015848,57.47126436781609
analyzer_veto_chase_overheat,all,validation,10,excess_csi300,174,174,0,1.27731747242146,0.5528375523154105,8.579801103081289,1.5206237194452898,0.4389662568789341,53.44827586206896
analyzer_veto_chase_overheat,all,validation,10,excess_csi1000,174,174,0,0.9835566708074217,0.21900743221717756,8.418230800000838,1.4879048142604148,0.42952112252089536,50.57471264367817
analyzer_veto_chase_overheat,all,validation,10,excess_eligible,174,174,0,0.43547565246244835,-0.37771710119265567,8.431095428822598,0.30945043372039915,0.08933064560465946,46.55172413793103
analyzer_veto_chase_overheat,all,validation,20,close,174,174,0,3.534396451702823,1.821209372577648,12.60472614863603,2.0856876327647154,0.6020861581110909,55.74712643678161
analyzer_veto_chase_overheat,all,validation,20,t1,174,174,0,3.2626039046052075,1.5618177103410402,12.441458028761755,1.8697824938555794,0.5397597130767843,55.74712643678161
analyzer_veto_chase_overheat,all,validation,20,t1_net,174,174,0,3.1026039046052083,1.4018177103410403,12.441458028761755,1.7690682588225393,0.5106860177230078,55.172413793103445
analyzer_veto_chase_overheat,all,validation,20,excess_csi300,174,174,0,1.7804333681262607,-0.13696570589994406,11.84823636325503,1.5521941730213304,0.44807986181421694,49.42528735632184
analyzer_veto_chase_overheat,all,validation,20,excess_csi1000,174,174,0,0.8700151267540698,-0.9953531810671379,11.74660773050724,0.8018410644222155,0.2314715771957311,43.67816091954023
analyzer_veto_chase_overheat,all,validation,20,excess_eligible,174,174,0,0.7285645003422309,-1.0129722305829152,11.73901859860316,0.5226386015019386,0.15087276863301693,44.827586206896555
analyzer_veto_chase_overheat,tier1_only,all,5,close,305,305,0,0.8988822919614728,0.5698005698005604,7.965981084070485,1.2223923178202218,0.2548864178981531,54.09836065573771
analyzer_veto_chase_overheat,tier1_only,all,5,t1,305,305,0,0.7887054214352597,0.5141388174807249,7.680264749542151,1.0856107803629524,0.22636549576142473,52.459016393442624
analyzer_veto_chase_overheat,tier1_only,all,5,t1_net,305,305,0,0.6287054214352595,0.35413881748072484,7.680264749542151,0.9137131665343621,0.1905223655361469,51.80327868852459
analyzer_veto_chase_overheat,tier1_only,all,5,excess_csi300,305,305,0,0.7252684272194583,-0.2163649798522016,6.982614942553816,1.3934659698546994,0.290557740212726,47.868852459016395
analyzer_veto_chase_overheat,tier1_only,all,5,excess_csi1000,305,305,0,1.0357826416838194,0.6264329288847792,6.660142730078941,2.8769227582306116,0.5998798632199194,55.40983606557377
analyzer_veto_chase_overheat,tier1_only,all,5,excess_eligible,305,305,0,0.5662615627452446,-0.07169231986887736,6.732360050755357,1.1711401037659563,0.24419959251550014,49.50819672131148
analyzer_veto_chase_overheat,tier1_only,all,10,close,305,305,0,1.2454893785949177,0.7531380753138084,9.74184488234359,1.3481768313822835,0.2811143020410005,53.442622950819676
analyzer_veto_chase_overheat,tier1_only,all,10,t1,305,305,0,1.1399844759189404,0.8310249307479145,9.548691451086123,1.185182792012604,0.247127695427036,54.42622950819672
analyzer_veto_chase_overheat,tier1_only,all,10,t1_net,305,305,0,0.9799844759189402,0.6710249307479145,9.548691451086123,1.0350346130355457,0.21581963586589795,54.09836065573771
analyzer_veto_chase_overheat,tier1_only,all,10,excess_csi300,305,305,0,0.7478473430286547,-0.008592062464185535,8.947187920448973,1.0826196213688701,0.22574179599642208,49.8360655737705
analyzer_veto_chase_overheat,tier1_only,all,10,excess_csi1000,305,305,0,0.8910149930864341,-0.11502861685716015,8.624850475191643,1.6176565385885098,0.3373047052893789,49.18032786885246
analyzer_veto_chase_overheat,tier1_only,all,10,excess_eligible,305,305,0,0.7408904771866445,-0.21679055076659415,8.605537782781717,0.950492046499865,0.19819129214182923,46.885245901639344
analyzer_veto_chase_overheat,tier1_only,all,20,close,305,305,0,3.092559942271628,0.5823912298732248,12.88268203887257,1.8617400761112628,0.38819964109691374,51.47540983606558
analyzer_veto_chase_overheat,tier1_only,all,20,t1,305,305,0,2.9984831990927105,0.48000000000001375,12.868228148175927,1.7037415265681537,0.35525466611706463,51.47540983606558
analyzer_veto_chase_overheat,tier1_only,all,20,t1_net,305,305,0,2.8384831990927104,0.3200000000000137,12.868228148175927,1.5956887814008023,0.33272411127123597,51.147540983606554
analyzer_veto_chase_overheat,tier1_only,all,20,excess_csi300,305,305,0,0.6281961219639756,-1.1240267422404804,11.606837448611763,0.5714019896286424,0.11914555105846308,43.606557377049185
analyzer_veto_chase_overheat,tier1_only,all,20,excess_csi1000,305,305,0,0.3130261027923027,-1.1442432534623403,11.75642749460749,0.17287348796567226,0.03604661404916491,42.950819672131146
analyzer_veto_chase_overheat,tier1_only,all,20,excess_eligible,305,305,0,0.9368191511168338,-0.9570172768032852,11.274087693805168,0.8220096743536441,0.17140086559709697,46.22950819672131
analyzer_veto_chase_overheat,tier1_only,discovery,5,close,131,131,0,-0.32677961880091083,-0.41109969167524296,7.143032023816802,0.3560271890918105,0.10734623648931349,45.038167938931295
analyzer_veto_chase_overheat,tier1_only,discovery,5,t1,131,131,0,-0.22671976616385245,-0.45000000000001705,6.853028074968162,0.3353342327312571,0.10110707539375405,45.038167938931295
analyzer_veto_chase_overheat,tier1_only,discovery,5,t1_net,131,131,0,-0.3867197661638526,-0.6100000000000171,6.8530280749681625,0.22048781862258943,0.06647957865591501,44.274809160305345
analyzer_veto_chase_overheat,tier1_only,discovery,5,excess_csi300,131,131,0,-0.31749126547511125,-0.5510358991177022,6.332360610793038,0.15623493033350289,0.047106603914867685,44.274809160305345
analyzer_veto_chase_overheat,tier1_only,discovery,5,excess_csi1000,131,131,0,0.5424705119002955,0.9042546304405374,6.099424743522151,1.2446025695076104,0.3752617941971791,58.01526717557252
analyzer_veto_chase_overheat,tier1_only,discovery,5,excess_eligible,131,131,0,0.25042246640914445,0.07852754718875898,6.20358474714998,0.5676371290169465,0.17114903400216103,51.908396946564885
analyzer_veto_chase_overheat,tier1_only,discovery,10,close,131,131,0,-0.019341693794179386,-0.5320092214931682,10.279686296798863,0.387283264274508,0.11677029774387228,48.854961832061065
analyzer_veto_chase_overheat,tier1_only,discovery,10,t1,131,131,0,0.08476233416774437,0.0,10.0687361173023,0.3609595251688844,0.10883339177182144,49.61832061068702
analyzer_veto_chase_overheat,tier1_only,discovery,10,t1_net,131,131,0,-0.07523766583225575,-0.16,10.0687361173023,0.2749164855242184,0.08289043919700037,49.61832061068702
analyzer_veto_chase_overheat,tier1_only,discovery,10,excess_csi300,131,131,0,0.044581674980196315,-1.3240208007767147,9.400181752025802,0.33731885574009374,0.10170546174562833,45.038167938931295
analyzer_veto_chase_overheat,tier1_only,discovery,10,excess_csi1000,131,131,0,0.7680970394722977,-0.3219735007697011,8.922992348067954,0.947616352459292,0.28571708057387707,47.32824427480916
analyzer_veto_chase_overheat,tier1_only,discovery,10,excess_eligible,131,131,0,1.1465559695684011,-0.10887115765595157,8.84811752732734,0.9092711019739909,0.27415555254188284,47.32824427480916
analyzer_veto_chase_overheat,tier1_only,discovery,20,close,131,131,0,2.50569312821798,-0.9287925696594312,13.268739638526638,0.8053611289217893,0.24282551685187434,45.80152671755725
analyzer_veto_chase_overheat,tier1_only,discovery,20,t1,131,131,0,2.64766638413718,-0.700636942675148,13.454437165123162,0.7683285657450993,0.23165977893530956,45.80152671755725
analyzer_veto_chase_overheat,tier1_only,discovery,20,t1_net,131,131,0,2.48766638413718,-0.860636942675148,13.454437165123162,0.7079055213821146,0.21344154558594416,45.80152671755725
analyzer_veto_chase_overheat,tier1_only,discovery,20,excess_csi300,131,131,0,-0.9022564034729523,-1.987471913370742,11.139246237341101,-0.43440488055808196,-0.1309779996282101,35.87786259541985
analyzer_veto_chase_overheat,tier1_only,discovery,20,excess_csi1000,131,131,0,-0.4267913794164565,-1.7237108623657682,11.773577309145432,-0.24835371394013436,-0.0748814622209712,41.98473282442748
analyzer_veto_chase_overheat,tier1_only,discovery,20,excess_eligible,131,131,0,1.213432198710581,-0.5810220491429781,10.663445077907854,0.6117751394176876,0.18445714486507578,48.091603053435115
analyzer_veto_chase_overheat,tier1_only,validation,5,close,174,174,0,1.8216507420182102,1.2708503700783913,8.43641648944256,1.3744110456085235,0.3967582935796381,60.91954022988506
analyzer_veto_chase_overheat,tier1_only,validation,5,t1,174,174,0,1.553192200604706,0.9192262215593217,8.184929590301921,1.172057085184515,0.33834373681844393,58.04597701149425
analyzer_veto_chase_overheat,tier1_only,validation,5,t1_net,174,174,0,1.3931922006047057,0.7592262215593216,8.184929590301921,1.0477415714623413,0.3024569391624722,57.47126436781609
analyzer_veto_chase_overheat,tier1_only,validation,5,excess_csi300,174,174,0,1.510334632638933,0.42594521282821596,7.35537806597498,1.9812230993052906,0.5719298448543071,50.57471264367817
analyzer_veto_chase_overheat,tier1_only,validation,5,excess_csi1000,174,174,0,1.4071843026127944,0.5205031128499682,7.047490229268224,3.6250524903150745,1.0464625155549658,53.44827586206896
analyzer_veto_chase_overheat,tier1_only,validation,5,excess_eligible,174,174,0,0.804048468607481,-0.3964621083629576,7.1129669621925204,1.3328554441473897,0.38476222473467686,47.701149425287355
analyzer_veto_chase_overheat,tier1_only,validation,10,close,174,174,0,2.197747254933836,1.3669026655774297,9.232378090751475,1.844406978327032,0.5324344327161682,56.896551724137936
analyzer_veto_chase_overheat,tier1_only,validation,10,t1,174,174,0,1.9344333297661052,1.4160497379920645,9.086274615673254,1.5174935228829762,0.4380626469649999,58.04597701149425
analyzer_veto_chase_overheat,tier1_only,validation,10,t1_net,174,174,0,1.774433329766105,1.2560497379920645,9.086274615673254,1.383006217220479,0.3992395059015848,57.47126436781609
analyzer_veto_chase_overheat,tier1_only,validation,10,excess_csi300,174,174,0,1.27731747242146,0.5528375523154105,8.579801103081289,1.5206237194452898,0.4389662568789341,53.44827586206896
analyzer_veto_chase_overheat,tier1_only,validation,10,excess_csi1000,174,174,0,0.9835566708074217,0.21900743221717756,8.418230800000838,1.4879048142604148,0.42952112252089536,50.57471264367817
analyzer_veto_chase_overheat,tier1_only,validation,10,excess_eligible,174,174,0,0.43547565246244835,-0.37771710119265567,8.431095428822598,0.30945043372039915,0.08933064560465946,46.55172413793103
analyzer_veto_chase_overheat,tier1_only,validation,20,close,174,174,0,3.534396451702823,1.821209372577648,12.60472614863603,2.0856876327647154,0.6020861581110909,55.74712643678161
analyzer_veto_chase_overheat,tier1_only,validation,20,t1,174,174,0,3.2626039046052075,1.5618177103410402,12.441458028761755,1.8697824938555794,0.5397597130767843,55.74712643678161
analyzer_veto_chase_overheat,tier1_only,validation,20,t1_net,174,174,0,3.1026039046052083,1.4018177103410403,12.441458028761755,1.7690682588225393,0.5106860177230078,55.172413793103445
analyzer_veto_chase_overheat,tier1_only,validation,20,excess_csi300,174,174,0,1.7804333681262607,-0.13696570589994406,11.84823636325503,1.5521941730213304,0.44807986181421694,49.42528735632184
analyzer_veto_chase_overheat,tier1_only,validation,20,excess_csi1000,174,174,0,0.8700151267540698,-0.9953531810671379,11.74660773050724,0.8018410644222155,0.2314715771957311,43.67816091954023
analyzer_veto_chase_overheat,tier1_only,validation,20,excess_eligible,174,174,0,0.7285645003422309,-1.0129722305829152,11.73901859860316,0.5226386015019386,0.15087276863301693,44.827586206896555
